chr	start	end	strand	type	transposon	gene_id	gene_name	transcript_id
chr10	100006342	100006427	-	Predicted	SINE|MIR|MIRb	ENSG00000107554.17	DNMBP	
chr10	100381217	100381218	+	Predicted	LTR|ERV1|LTR7B	ENSG00000235823.5	OLMALINC	
chr10	100500159	100500160	-	Predicted	LTR|ERVL?|LTR87	ENSG00000075826.17	SEC31B	
chr10	101819732	101819733	-	Predicted	SINE|Alu|AluSx1	ENSG00000198408.14	OGA	
chr10	102143600	102143601	+	Predicted	SINE|Alu|AluSg4	ENSG00000148840.11	PPRC1	
chr10	102392132	102392133	+	Predicted	LTR|ERVK|LTR5_Hs	ENSG00000077150.21	NFKB2	
chr10	102419391	102419392	+	Predicted	LINE|CR1|L3b	ENSG00000107872.14	FBXL15	
chr10	102964905	102964906	+	Predicted	LTR|ERVL-MaLR|MLT1A1	ENSG00000148842.18	CNNM2	
chr10	103140191	103140192	-	Annotated	SINE|Alu|AluJo	ENSG00000076685.19	NT5C2	ENST00000487810.5
chr10	103517392	103517442	-	Annotated	SINE|MIR|MIRb	ENSG00000235470.5	NEURL1-AS1	ENST00000453753.5
chr10	103746779	103746794	+	Annotated	LINE|L2|L2b	ENSG00000280693.2	SH3PXD2A-AS1	ENST00000625265.1
chr10	103749783	103749784	+	Predicted	LTR|ERVL-MaLR|MLT1F	ENSG00000280693.2	SH3PXD2A-AS1	
chr10	104566931	104566973	+	Annotated	LTR|ERVL-MaLR|MLT1A0	ENSG00000237761.3	ENSG00000237761	ENST00000450054.2
chr10	1050104	1050105	-	Predicted	DNA|hAT-Charlie|Charlie1	ENSG00000067064.13	IDI1	
chr10	1050212	1050220	-	Predicted	DNA|hAT-Charlie|Charlie1	ENSG00000067064.13	IDI1	
chr10	1051800	1051801	-	Predicted	DNA|TcMar-Tigger|Tigger1	ENSG00000067064.13	IDI1	
chr10	1053936	1053937	-	Predicted	DNA|TcMar-Tigger|Tigger1	ENSG00000067064.13	IDI1	
chr10	1054245	1054246	-	Predicted	DNA|TcMar-Tigger|Tigger1	ENSG00000067064.13	IDI1	
chr10	105495955	105495956	-	Predicted	LTR|ERVL-MaLR|MLT1B	ENSG00000229466.2	ENSG00000233477.1	
chr10	105662975	105662976	-	Predicted	SINE|MIR|MIRb	ENSG00000229466.2	ENSG00000233477.1	
chr10	105820332	105820349	-	Annotated	SINE|MIR|MIR3	ENSG00000229466.2	LINC02627	ENST00000447757.2
chr10	106648899	106648900	+	Annotated	LTR|ERV1|LTR1	ENSG00000287047.1	ENSG00000287047	ENST00000662495.1
chr10	107033166	107033187	-	Predicted	LTR|ERVL-MaLR|MSTA	ENSG00000108018.16	SORCS1	
chr10	107918374	107918375	-	Predicted	DNA|hAT-Charlie|MER1B	ENSG00000229981.8	LINC01435	
chr10	10846064	10846065	+	Predicted	SINE|MIR|MIR1_Amn	ENSG00000048740.19	CELF2	
chr10	109232099	109232100	-	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000252574.2	RNU5B-6P	
chr10	109953890	109953892	-	Annotated	LTR|ERVL-MaLR|MLT1J2	ENSG00000203876.10	ADD3-AS1	ENST00000369657.5
chr10	110951608	110951609	+	Predicted	LINE|L1|L1MA9	ENSG00000108061.13	SHOC2	
chr10	111988683	111988684	-	Predicted	LTR|ERVL-MaLR|MSTA	ENSG00000287231.1	ENSG00000287231	
chr10	112448383	112448384	+	Predicted	LINE|L2|L2c	ENSG00000151532.15	VTI1A	
chr10	114173254	114173267	-	Predicted	SINE|MIR|MIRc	ENSG00000165813.20	CCDC186	
chr10	116418684	116418685	+	Predicted	LTR|ERVL-MaLR|THE1D	ENSG00000203837.5	PNLIPRP3	
chr10	116727314	116727315	-	Predicted	LTR|ERVL-MaLR|MLT1H2	ENSG00000165868.16	HSPA12A	
chr10	116727380	116727381	-	Predicted	LTR|ERVL-MaLR|MLT1H2	ENSG00000165868.16	HSPA12A	
chr10	117169054	117169108	-	Annotated	SINE|MIR|MIRb	ENSG00000234474.3	MIR3663HG	ENST00000654523.1
chr10	117425194	117425195	+	Annotated	LTR|ERVL-MaLR|MLT1K	ENSG00000258114.1	ENSG00000258114	ENST00000549104.1
chr10	117492103	117492111	-	Predicted	LTR|ERVL|LTR33	ENSG00000229847.9	EMX2OS	
chr10	118034041	118034042	-	Predicted	DNA|hAT-Charlie|MER58A	ENSG00000107560.12	RAB11FIP2	
chr10	119037933	119037934	-	Predicted	SINE|Alu|AluSq2	ENSG00000107581.13	EIF3A	
chr10	119516487	119516488	-	Annotated	SINE|MIR|MIRb	ENSG00000148908.15	RGS10	ENST00000473563.1
chr10	119883898	119883899	+	Annotated	LTR|ERV1|LTR12	ENSG00000289966.1	ENSG00000289966	ENST00000702149.1
chr10	120608580	120608598	+	Annotated	LTR|ERVL-MaLR|MLT1K	ENSG00000274461.2	LINC02930	ENST00000659883.1
chr10	120750032	120750035	+	Predicted	LTR|ERVL-MaLR|THE1C	ENSG00000274461.2	LINC02930	
chr10	120850443	120850464	+	Predicted	LTR|ERV1|LTR7Y	ENSG00000120008.16	WDR11	
chr10	12171157	12171158	-	Predicted	LINE|L1|L1MB4	ENSG00000165609.13	NUDT5	
chr10	121928624	121928635	-	Predicted	SINE|MIR|MIRc	ENSG00000107669.19	ATE1	ENST00000690773.1
chr10	121989163	121989207	+	Annotated	LTR|ERV1|MER50	ENSG00000138162.19	TACC2	ENST00000369005.6
chr10	121989263	121989264	+	Annotated	LTR|ERV1|MER50	ENSG00000138162.19	TACC2	ENST00000498721.1
chr10	122127036	122127037	+	Predicted	LTR|ERVL-MaLR|MLT1A0	ENSG00000138162.19	TACC2	
chr10	122953032	122953033	-	Predicted	LINE|CR1|L3	ENSG00000119965.13	C10orf88	
chr10	122959161	122959162	+	Predicted	LTR|ERVL|LTR32	ENSG00000179988.15	PSTK	
chr10	123776670	123776671	+	Annotated	LINE|L1|L1ME4c	ENSG00000231138.1	ENSG00000231138	ENST00000446888.1
chr10	12400011	12400012	+	Predicted	DNA|TcMar-Tigger|Tigger17a	ENSG00000183049.14	CAMK1D	
chr10	125752059	125752110	-	Annotated	LTR|ERVL|MER77	ENSG00000236991.6	EDRF1-AS1	ENST00000594025.5
chr10	125907458	125907459	+	Predicted	LTR|ERVL-MaLR|MLT1E1A	ENSG00000203780.12	FANK1	
chr10	1261916	1261917	+	Predicted	LINE|L1|L1PA2	ENSG00000229205.5	LINC00200	
chr10	1261972	1261973	+	Predicted	LINE|L1|L1PA2	ENSG00000229205.5	LINC00200	
chr10	126424069	126424070	+	Predicted	LTR|ERVL|LTR41	ENSG00000287326.1	ENSG00000287326	
chr10	126520858	126520859	-	Annotated	LTR|ERVL-MaLR|MLT1C	ENSG00000154493.20	C10orf90	ENST00000356858.7
chr10	129250573	129250580	-	Predicted	LTR|ERVL-MaLR|MLT1D	ENSG00000289087.1	ENSG00000289087	
chr10	131777401	131777402	-	Annotated	LTR|ERV1|LTR10B2	ENSG00000189275.6	LINC01164	ENST00000684956.2
chr10	133370031	133370032	-	Predicted	SINE|tRNA|LFSINE_Vert	ENSG00000127884.5	ECHS1	
chr10	133493299	133493300	+	Predicted	LTR|ERVL|LTR84b	ENSG00000214279.13	SCART1	
chr10	13391347	13391348	+	Annotated	LTR|ERVL-MaLR|MSTA	ENSG00000286514.1	ENSG00000286514	ENST00000658137.1
chr10	14462141	14462142	-	Annotated	LTR|ERVL-MaLR|THE1B	ENSG00000151474.23	FRMD4A	ENST00000475141.2
chr10	14548632	14548670	-	Annotated	LTR|ERVL-MaLR|MLT1L	ENSG00000065809.14	FAM107B	ENST00000378470.5
chr10	14811116	14811117	-	Predicted	DNA|hAT-Charlie|MER5B	ENSG00000065809.14	FAM107B	
chr10	15035424	15035425	-	Annotated	LTR|ERVL-MaLR|MSTB			NR_144469.1
chr10	1526630	1526638	+	Annotated	LTR|ERVL-MaLR|MSTB1	ENSG00000205696.5	ADARB2-AS1	ENST00000421697.2
chr10	1526763	1526764	+	Annotated	LTR|ERVL-MaLR|MSTB1	ENSG00000205696.5	ADARB2-AS1	ENST00000381301.3
chr10	16278055	16278086	+	Annotated	LTR|Gypsy|LTR81	ENSG00000226140.6	LINC02654	ENST00000656314.1
chr10	16467130	16467134	+	Predicted	DNA|TcMar-Tigger|MER44A	ENSG00000165983.15	PTER	
chr10	16748376	16748377	-	Annotated	LTR|ERVL-MaLR|MLT1D	ENSG00000225213.2	ENSG00000225213	ENST00000421480.2
chr10	17454594	17454595	-	Annotated	LINE|L1|L1MD2	ENSG00000148488.17	ST8SIA6	ENST00000377602.5
chr10	18653467	18653468	-	Predicted	SINE|Alu|AluSx1	ENSG00000241058.4	NSUN6	
chr10	19718642	19718660	-	Annotated	LTR|ERVL-MaLR|MSTB	ENSG00000233968.9	ENSG00000233968	ENST00000702501.1
chr10	21002695	21002701	-	Annotated	LTR|ERVL-MaLR|MSTA	ENSG00000078114.19	NEBL	ENST00000674777.1
chr10	22218014	22218019	-	Annotated	LTR|ERVL-MaLR|THE1D	ENSG00000223601.3	EBLN1	ENST00000422359.3
chr10	22706014	22706015	-	Predicted	LTR|ERVL-MaLR|THE1C	ENSG00000150867.14	PIP4K2A	
chr10	22714332	22714620	-	Annotated	LTR|ERV1|LTR27E	ENSG00000150867.14	PIP4K2A	ENST00000376573.9
chr10	22997255	22997256	+	Annotated	SINE|5S-Deu-L2|AmnSINE1	ENSG00000223131.1	RNA5SP304	ENST00000411199.1
chr10	25466154	25466191	+	Annotated	LTR|ERV1|LTR12F	ENSG00000151025.11	GPR158	ENST00000482641.2
chr10	2559892	2559893	+	Predicted	LINE|L1|L1MC3	ENSG00000235281.2	ENSG00000235281	
chr10	25932361	25932362	-	Predicted	DNA|hAT-Charlie|Charlie1b	ENSG00000226304.1	ENSG00000226304	
chr10	26696725	26696726	+	Predicted	LINE|L2|L2c	ENSG00000148459.16	PDSS1	
chr10	26702160	26702181	+	Predicted	LTR|ERVL-MaLR|THE1D-int	ENSG00000148459.16	PDSS1	
chr10	27566831	27566832	+	Predicted	LINE|L1|L1MEf	ENSG00000285737.1	LINC02680	
chr10	27981804	27981805	-	Annotated	LINE|L2|L2b	ENSG00000169126.16	ODAD2	ENST00000673512.1
chr10	28335294	28335295	-	Predicted	SINE|Alu|AluYc	ENSG00000150054.19	MPP7	
chr10	28526008	28526009	-	Predicted	LINE|L2|L2	ENSG00000254635.6	WAC-AS1	
chr10	28795971	28796050	-	Annotated	LTR|ERVL-MaLR|MLT1J1	ENSG00000235824.5	LINC00837	ENST00000443246.2
chr10	28796112	28796113	-	Annotated	LTR|ERVL-MaLR|MLT1J1	ENSG00000235824.5	LINC00837	ENST00000446012.1
chr10	30001118	30001119	-	Annotated	LTR|ERVL|LTR40a	ENSG00000288874.2	ENSG00000288874	ENST00000693172.2
chr10	31611037	31611038	-	Predicted	DNA|TcMar-Tigger|Tigger5b	ENSG00000286694.1	ENSG00000286694	
chr10	32436088	32436089	-	Predicted	DNA|TcMar-Tigger|Tigger1	ENSG00000286409.2	ENSG00000286409	
chr10	32933583	32933584	-	Predicted	LINE|L1|L1ME4a	ENSG00000150093.20	ITGB1	
chr10	32982464	32982465	+	Predicted	LINE|L2|L2a	ENSG00000229656.9	ITGB1-DT	
chr10	32992462	32992463	-	Annotated	LTR|ERVL-MaLR|THE1B	ENSG00000150093.20	ITGB1	ENST00000534049.5
chr10	34405956	34405976	-	Predicted	LTR|ERVL|LTR40b	ENSG00000148498.17	PARD3	
chr10	34973984	34973985	+	Annotated	LTR|ERV1|HERVE-int	ENSG00000283000.2	LINC02635	ENST00000635301.2
chr10	35035690	35035691	-	Annotated	LINE|L1|L1ME4b	ENSG00000108094.17	CUL2	ENST00000688044.1
chr10	35137783	35137784	+	Predicted	DNA|DNA|UCON78	ENSG00000095794.21	CREM	
chr10	35238551	35238552	-	Predicted	LTR|ERV1|LTR49	ENSG00000233200.1	LINC02634	
chr10	37857531	37857661	-	Annotated	SINE|MIR|MIR	ENSG00000198105.16	ZNF248	ENST00000485560.5
chr10	37858931	37858934	-	Predicted	LINE|L1|L1MD3	ENSG00000198105.16	ZNF248	
chr10	38007077	38007085	+	Predicted	SINE|Alu|AluSp	ENSG00000189180.16	ZNF33A	
chr10	38025349	38025350	+	Predicted	LTR|ERVL-MaLR|MLT1A	ENSG00000189180.16	ZNF33A	
